orbit: 2, acc: 1.0, simple_acc: 0.8877697587013245
orbit: 3, acc: 0.9294964075088501, simple_acc: 0.696402907371521
orbit: 4, acc: 0.9812949895858765, simple_acc: 0.9107913374900818
orbit: 5, acc: 0.9784172773361206, simple_acc: 0.5697841644287109
orbit: 8, acc: 0.9640287756919861, simple_acc: 0.7553957104682922
orbit: 10, acc: 0.930935263633728, simple_acc: 0.5841726660728455
orbit: 11, acc: 0.9985611438751221, simple_acc: 0.8848921060562134
orbit: 12, acc: 0.9107913374900818, simple_acc: 0.6978417038917542
orbit: 13, acc: 0.9136690497398376, simple_acc: 0.7784172892570496
orbit: 14, acc: 0.9553956985473633, simple_acc: 0.932374119758606
orbit: 15, acc: 0.9669064879417419, simple_acc: 0.5697841644287109
orbit: 16, acc: 0.9769784212112427, simple_acc: 0.5798560976982117
orbit: 19, acc: 0.9035971164703369, simple_acc: 0.6805755496025085
orbit: 21, acc: 0.8992805480957031, simple_acc: 0.6460431814193726
orbit: 22, acc: 0.8748201727867126, simple_acc: 0.5870503783226013
orbit: 23, acc: 0.9251798391342163, simple_acc: 0.5309352278709412
orbit: 25, acc: 0.9525179862976074, simple_acc: 0.5956834554672241
orbit: 26, acc: 0.9395683407783508, simple_acc: 0.800000011920929
orbit: 27, acc: 0.9064748287200928, simple_acc: 0.6561151146888733
orbit: 28, acc: 0.9266186952590942, simple_acc: 0.5266187191009521
orbit: 30, acc: 0.9683453440666199, simple_acc: 0.5755395889282227
orbit: 31, acc: 0.8935251832008362, simple_acc: 0.7021582722663879
orbit: 32, acc: 0.8776978254318237, simple_acc: 0.5726618766784668
orbit: 33, acc: 0.9755395650863647, simple_acc: 0.568345308303833
orbit: 34, acc: 0.9769784212112427, simple_acc: 0.500719428062439
orbit: 38, acc: 0.9784172773361206, simple_acc: 0.6000000238418579
orbit: 39, acc: 0.935251772403717, simple_acc: 0.6604316830635071
orbit: 40, acc: 0.9050359725952148, simple_acc: 0.7467625737190247
orbit: 41, acc: 0.9568345546722412, simple_acc: 0.896402895450592
orbit: 43, acc: 0.8690647482872009, simple_acc: 0.5928057432174683
orbit: 44, acc: 0.9251798391342163, simple_acc: 0.5223021507263184
orbit: 45, acc: 0.971222996711731, simple_acc: 0.5496402978897095
orbit: 46, acc: 0.971222996711731, simple_acc: 0.5136690735816956
orbit: 50, acc: 0.9697842001914978, simple_acc: 0.5625899434089661
orbit: 52, acc: 0.9582734107971191, simple_acc: 0.935251772403717
orbit: 53, acc: 0.9381294846534729, simple_acc: 0.6460431814193726
orbit: 54, acc: 0.930935263633728, simple_acc: 0.8575539588928223
orbit: 55, acc: 0.9956834316253662, simple_acc: 0.5597122311592102
orbit: 56, acc: 0.9280575513839722, simple_acc: 0.533812940120697
orbit: 57, acc: 0.9899280667304993, simple_acc: 0.6575539708137512
orbit: 58, acc: 0.932374119758606, simple_acc: 0.5798560976982117
orbit: 60, acc: 0.9151079058647156, simple_acc: 0.7812949419021606
orbit: 61, acc: 0.9510791301727295, simple_acc: 0.8820143938064575
orbit: 62, acc: 0.9395683407783508, simple_acc: 0.6546762585639954
orbit: 63, acc: 0.9208633303642273, simple_acc: 0.8187050223350525
orbit: 64, acc: 0.9050359725952148, simple_acc: 0.7525179982185364
orbit: 65, acc: 0.9079136848449707, simple_acc: 0.8014388680458069
orbit: 66, acc: 0.9539568424224854, simple_acc: 0.935251772403717
orbit: 67, acc: 0.9582734107971191, simple_acc: 0.935251772403717
orbit: 68, acc: 0.9294964075088501, simple_acc: 0.8561151027679443
orbit: 69, acc: 0.9812949895858765, simple_acc: 0.965467631816864
orbit: 70, acc: 0.9539568424224854, simple_acc: 0.9395683407783508
orbit: 71, acc: 0.9769784212112427, simple_acc: 0.9640287756919861
orbit: 72, acc: 0.9884892106056213, simple_acc: 0.9827337861061096
mean acc: 0.9437783128685422
